display_id,ad_id,clicked
1,42337,0
1,139684,0
1,144739,1
1,156824,0
1,279295,0
1,296965,0
2,125211,0
2,156535,0
2,169564,0
2,308455,1
3,71547,0
3,95814,0
3,152141,0
3,183846,0
3,228657,1
3,250082,0
4,149930,0
4,153623,1
4,184709,0
4,186849,0
4,233730,0
5,54606,0
5,162868,0
5,184548,0
5,282674,0
5,326514,1
6,85397,0
6,160754,0
6,173388,0
6,175234,1
6,180923,0
6,234445,0
7,105766,1
7,215967,0
7,300808,0
8,95724,0
8,175694,0
8,280430,1
8,329774,0
9,19959,0
9,104208,0
9,140940,1
9,151028,0
10,241662,0
10,332908,1
11,51955,0
11,96116,0
11,139059,1
11,149541,0
11,156477,0
11,159431,0
12,35982,0
12,41584,0
12,75426,0
12,97178,1
12,105789,0
12,211592,0
13,121703,0
13,143294,0
13,149541,1
14,98270,0
14,143467,0
14,224171,1
14,288396,0
15,52086,0
15,153016,1
15,191589,0
15,335983,0
16,104208,0
16,172888,0
16,235104,0
16,273567,1
17,27309,0
17,37191,1
17,81652,0
17,250080,0
18,130833,0
18,164299,0
18,232272,0
18,285989,1
19,39872,0
19,111036,1
20,117567,0
20,151926,0
20,177068,1
20,282350,0
21,5558,0
21,28337,1
21,89256,0
21,137128,0
22,171594,0
22,225435,0
22,232272,0
22,288069,1
23,105664,0
23,192854,1
23,213690,0
23,223729,0
23,224786,0
23,284367,0
23,284504,0
23,294332,0
24,48185,0
24,64255,0
24,80301,1
24,87029,0
24,137247,0
24,193650,0
25,47902,0
25,55167,1
25,137364,0
25,137367,0
25,238431,0
25,262592,0
26,152193,1
26,285992,0
27,7432,1
27,250319,0
28,91945,0
28,142608,0
28,162994,0
28,198120,0
28,268548,0
28,290654,1
29,198125,0
29,198146,1
30,139944,1
30,166549,0
30,181548,0
30,250079,0
30,269017,0
31,5116,0
31,31770,1
31,44927,0
31,122410,0
31,160722,0
31,223536,0
32,111697,0
32,185710,0
32,188665,0
32,333874,1
33,34348,0
33,36619,0
33,138832,0
33,238429,0
33,325904,1
33,326394,0
34,14096,1
34,23522,0
34,101761,0
34,151209,0
34,162129,0
34,220315,0
34,228566,0
34,260399,0
35,45024,0
35,180913,0
35,289116,1
36,3685,0
36,59628,0
36,149541,0
36,171309,0
36,228959,1
36,328479,0
37,70153,0
37,149047,0
37,169564,0
37,234713,1
37,235443,0
38,10731,0
38,18493,0
38,35316,0
38,123124,0
38,128502,0
38,135335,0
38,141109,1
38,197199,0
38,285836,0
39,28347,0
39,147706,0
39,160454,0
39,166922,1
40,37099,0
40,322736,1
40,327087,0
41,52838,1
41,138353,0
41,149541,0
41,162417,0
41,173006,0
41,233086,0
42,29046,1
42,276172,0
43,14081,1
43,46128,0
43,81009,0
43,149541,0
43,157391,0
43,211592,0
44,108200,0
44,111054,0
44,269739,1
44,287157,0
45,111054,0
45,167398,1
45,198397,0
45,235443,0
46,102726,0
46,120162,1
46,139950,0
46,250079,0
47,39487,0
47,66921,0
47,66942,0
47,116261,0
47,153181,0
47,155385,1
47,188222,0
47,251970,0
48,55988,0
48,59519,0
48,88842,0
48,133751,0
48,180923,0
48,334742,1
49,132776,0
49,247063,0
49,270922,0
49,279028,1
50,135466,0
50,152843,0
50,162121,0
50,162129,1
50,184717,0
50,192682,0
51,5760,1
51,99568,0
51,155560,0
51,163669,0
52,32481,0
52,85397,0
52,95103,1
52,112111,0
52,128615,0
52,160754,0
52,180720,0
52,192149,0
52,288377,0
53,141009,0
53,144980,0
53,150083,0
53,159431,0
53,278366,1
54,40397,0
54,55518,0
54,118871,0
54,150083,0
54,173005,0
54,229333,0
54,234723,0
54,257105,1
54,288377,0
55,20801,0
55,50640,0
55,101184,0
55,117500,0
55,141465,0
55,144719,0
55,192682,0
55,220854,1
56,51445,0
56,151213,0
56,215554,1
56,231127,0
57,13030,0
57,98204,1
57,150231,0
57,173400,0
57,198151,0
58,229669,1
58,255276,0
58,278452,0
59,69340,1
59,93396,0
59,97580,0
59,98027,0
59,120162,0
59,151927,0
59,195261,0
59,269865,0
59,330981,0
60,86683,1
60,144741,0
60,167552,0
60,197798,0
60,227367,0
60,257524,0
61,77848,1
61,161995,0
62,68291,0
62,92759,1
62,132780,0
63,122737,0
63,125217,0
63,202858,1
63,247062,0
64,22414,0
64,54049,1
64,149541,0
64,330189,0
65,57971,1
65,137800,0
66,52574,1
66,173006,0
66,182355,0
66,197120,0
66,331260,0
67,47081,0
67,173292,1
67,252928,0
68,43517,0
68,48185,1
68,146666,0
68,198149,0
69,23324,0
69,104208,0
69,173452,1
69,211848,0
70,95558,1
70,99542,0
70,136936,0
70,158344,0
70,237050,0
71,56754,0
71,69823,0
71,74623,0
71,96378,0
71,144741,0
71,151027,1
71,199447,0
71,257731,0
72,153784,0
72,276172,1
73,86281,0
73,151213,0
73,162971,1
73,201649,0
74,89858,1
74,105510,0
74,139059,0
74,255779,0
75,26894,0
75,131543,0
75,148709,1
75,151028,0
75,154764,0
75,163111,0
75,181834,0
75,258419,0
76,54154,0
76,95103,0
76,120216,0
76,144741,0
76,173130,1
76,228959,0
76,235535,0
76,333491,0
77,149542,1
77,178931,0
77,179269,0
77,195386,0
77,246973,0
77,257975,0
77,331466,0
78,95558,0
78,136785,0
78,237442,0
78,252873,0
78,257479,1
79,79784,0
79,88711,0
79,92113,1
79,133677,0
79,150083,0
79,151832,0
79,187282,0
80,68305,0
80,127047,1
80,172432,0
81,8748,0
81,45196,0
81,146881,1
81,282769,0
82,8386,1
82,104999,0
82,110665,0
82,155236,0
82,285834,0
82,305803,0
83,96116,0
83,121894,1
83,140940,0
83,151028,0
83,161142,0
84,117307,0
84,162030,0
84,191025,1
84,226246,0
85,47949,0
85,50452,0
85,67305,0
85,93982,1
86,158482,0
86,169346,0
86,173393,0
86,236089,1
87,145935,0
87,151926,0
87,154114,0
87,309862,1
88,79828,0
88,147993,1
88,154692,0
88,198119,0
89,67861,0
89,174547,1
89,202742,0
89,213047,0
90,25289,0
90,153484,0
90,167580,1
90,213116,0
90,263228,0
90,271623,0
91,71547,0
91,92366,0
91,102726,0
91,145937,1
91,168277,0
91,183841,0
91,194534,0
91,250082,0
92,48185,0
92,151213,1
92,173403,0
92,238036,0
93,31367,0
93,111055,0
93,147993,1
93,160455,0
93,211049,0
93,235450,0
94,87029,0
94,124745,0
94,188890,0
94,215666,1
95,37416,0
95,40529,1
95,122740,0
95,141317,0
95,189226,0
96,29281,0
96,48185,1
96,78297,0
96,84937,0
96,138533,0
96,143180,0
97,26724,0
97,65278,0
97,105610,0
97,182025,0
97,232262,1
97,278876,0
98,5292,0
98,102724,0
98,127051,1
98,127712,0
98,163664,0
98,190063,0
99,81657,0
99,162121,0
99,162130,1
99,224785,0
99,300908,0
99,340041,0
100,61159,0
100,149541,0
100,153332,0
100,202214,0
100,309127,1
101,10731,0
101,17917,0
101,18493,0
101,51402,1
101,117307,0
101,146172,0
101,152964,0
101,197199,0
101,228566,0
102,73754,0
102,173005,0
102,279992,1
103,3798,0
103,32780,0
103,38763,0
103,173005,0
103,235104,1
104,13187,0
104,133754,1
104,160455,0
105,13305,0
105,53297,1
105,83804,0
105,91989,0
105,118470,0
105,281286,0
106,14120,0
106,39897,0
106,42006,0
106,132295,0
106,137152,0
106,187797,0
106,232276,1
106,294428,0
107,29506,0
107,122279,0
107,145936,0
107,262638,1
108,33744,0
108,144741,1
108,284431,0
109,133355,0
109,150801,1
109,173412,0
109,252179,0
110,35573,0
110,41355,1
110,80053,0
110,150143,0
110,163597,0
110,304153,0
111,23690,0
111,83251,0
111,126412,1
111,184730,0
